iter	MultiClass
0	1.08400925
1	1.070654301
2	1.059292638
3	1.048533292
4	1.037882481
5	1.0295577
6	1.021704588
7	1.014270747
8	1.007632932
9	1.001544312
10	0.9947321883
11	0.9893734628
12	0.9835272103
13	0.9785134448
14	0.9738447704
15	0.9701531885
16	0.9654539778
17	0.9618892923
18	0.9576668764
19	0.9544572548
20	0.9504516282
21	0.946330214
22	0.9428929902
23	0.9401967368
24	0.938144427
25	0.9351202756
26	0.9327467017
27	0.9300482659
28	0.9275579555
29	0.9250668909
30	0.9235836957
31	0.9211602287
32	0.9190055979
33	0.9170120783
34	0.915205984
35	0.9139986067
36	0.9123421458
37	0.9110905169
38	0.9099672795
39	0.9078392019
40	0.9062236192
41	0.9047790792
42	0.9033648905
43	0.9023896738
44	0.9003102089
45	0.8993476449
46	0.8977229975
47	0.8972047085
48	0.8951861415
49	0.8936040332
50	0.8929516888
51	0.8917268028
52	0.8902812304
53	0.8885428671
54	0.8873241128
55	0.8863616722
56	0.8849387604
57	0.8848984506
58	0.8834775079
59	0.8829089737
60	0.8820568663
61	0.8812079359
62	0.8798264453
63	0.8783103555
64	0.8770698581
65	0.8752946768
66	0.8744054993
67	0.8732688812
68	0.872119826
69	0.8713545335
70	0.8713530883
71	0.8708073461
72	0.8699897926
73	0.8691024934
74	0.8675630491
75	0.8659483066
76	0.8645662346
77	0.8639099376
78	0.8622797198
79	0.8618514927
80	0.8610494272
81	0.8599863752
82	0.8589091926
83	0.8576017998
84	0.8564043541
85	0.8553073172
86	0.8544925038
87	0.8537446248
88	0.853136499
89	0.85199291
90	0.8505931123
91	0.8501964835
92	0.8495795047
93	0.848591204
94	0.8480560107
95	0.8468461488
96	0.8460275636
97	0.8458041633
98	0.8443735909
99	0.8435958741
100	0.8428846625
101	0.8419590865
102	0.8406661883
103	0.8400561581
104	0.8392059546
105	0.8381633872
106	0.836761699
107	0.8364211212
108	0.835795447
109	0.8348878808
110	0.8343102352
111	0.8337030023
112	0.8327006143
113	0.8320110418
114	0.8318157367
115	0.8307782684
116	0.8299050488
117	0.8293552822
118	0.8279406808
119	0.8271353986
120	0.826311618
121	0.825459221
122	0.824783056
123	0.8247323655
124	0.8240296808
125	0.823214712
126	0.8217226001
127	0.8198655281
128	0.8191422291
129	0.817847431
130	0.8172236846
131	0.8164649197
132	0.8150828112
133	0.8140836083
134	0.812507953
135	0.8114941843
136	0.8102877931
137	0.8097565633
138	0.8093092881
139	0.808024289
140	0.8076725902
141	0.8067982878
142	0.8055835208
143	0.805100603
144	0.8040522278
145	0.8034712817
146	0.8023354724
147	0.8013343012
148	0.8008511673
149	0.8000865205
150	0.799463352
151	0.7986440124
152	0.797785966
153	0.7969205429
154	0.7956803674
155	0.7951605725
156	0.7938158039
157	0.7929382135
158	0.7916678476
159	0.7905408661
160	0.7897969918
161	0.7892703672
162	0.7884557003
163	0.7880593413
164	0.7877427418
165	0.7870694068
166	0.7866278808
167	0.785695272
168	0.7846913406
169	0.7844977883
170	0.7837132668
171	0.7828453929
172	0.7821140291
173	0.7806784637
174	0.7793106021
175	0.7785754676
176	0.7775391451
177	0.7765480952
178	0.7759778249
179	0.7754831211
180	0.7746715172
181	0.7738517284
182	0.7727796014
183	0.7719873644
184	0.7711321219
185	0.7703225568
186	0.7700313945
187	0.7693650588
188	0.7685958528
189	0.767392066
190	0.7663443133
191	0.7648561205
192	0.7639656531
193	0.7639628787
194	0.7633104987
195	0.7629425551
196	0.7620454772
197	0.7615850002
198	0.7608500333
199	0.7601175967
200	0.7595471695
201	0.7586241877
202	0.7582484839
203	0.7573281074
204	0.7562750594
205	0.7558541117
206	0.755232674
207	0.7543682006
208	0.7535474846
209	0.7527232093
210	0.7521862766
211	0.7514443276
212	0.7507556644
213	0.7500487633
214	0.7495173477
215	0.7486358489
216	0.7477559519
217	0.7469424002
218	0.7461585793
219	0.7455050516
220	0.7449462876
221	0.7445143617
222	0.743459586
223	0.7427793351
224	0.7420046207
225	0.7416619312
226	0.7410892944
