iter	Passed	Remaining
0	161	128972
1	282	112882
2	335	89168
3	535	106640
4	747	118817
5	917	121428
6	993	112587
7	1168	115655
8	1322	116265
9	1377	108796
10	1528	109634
11	1693	111209
12	1873	113445
13	2038	114469
14	2202	115268
15	2247	110122
16	2474	113971
17	2636	114556
18	2777	114153
19	2932	114360
20	3083	114389
21	3240	114599
22	3394	114675
23	3539	114446
24	3578	110948
25	3739	111318
26	3889	111357
27	4028	111070
28	4181	111171
29	4327	111078
30	4352	107970
31	4500	108007
32	4642	107894
33	4806	108297
34	4952	108254
35	4987	105852
36	5127	105731
37	5273	105741
38	5431	105987
39	5602	106442
40	5749	106429
41	5893	106371
42	6037	106296
43	6187	106308
44	6339	106357
45	6491	106407
46	6630	106229
47	6778	106196
48	6923	106120
49	7062	105936
50	7205	105829
51	7348	105707
52	7496	105657
53	7638	105528
54	7776	105331
55	7912	105119
56	8054	104987
57	8112	103786
58	8256	103701
59	8396	103557
60	8536	103414
61	8684	103370
62	8836	103374
63	8984	103324
64	9120	103131
65	9269	103087
66	9413	102981
67	9565	102966
68	9702	102791
69	9841	102627
70	9865	101293
71	10015	101272
72	10155	101141
73	10298	101040
74	10443	100954
75	10579	100787
76	10724	100695
77	10865	100576
78	11010	100488
79	11155	100396
80	11294	100257
81	11430	100083
82	11574	99989
83	11720	99905
84	11858	99753
85	11995	99589
86	12128	99399
87	12268	99264
88	12416	99190
89	12719	100343
90	12919	100655
91	13066	100556
92	13203	100373
93	13352	100284
94	13495	100149
95	13631	99961
96	13774	99827
97	13916	99686
98	14056	99531
99	14200	99402
100	14341	99254
101	14485	99125
102	14620	98934
103	14777	98892
104	14919	98752
105	15060	98606
106	15205	98482
107	15352	98370
108	15491	98209
109	15632	98055
110	15768	97877
111	15911	97740
112	16054	97605
113	16193	97447
114	16338	97321
115	16482	97191
116	16630	97080
117	16769	96922
118	16908	96763
119	17045	96592
120	17175	96381
121	17321	96264
122	17471	96164
123	17519	95508
124	17692	95540
125	17854	95507
126	18001	95391
127	18146	95271
128	18287	95122
129	18431	94995
130	18580	94889
131	18720	94739
132	18879	94681
133	19033	94600
134	19178	94472
135	19323	94345
136	19461	94183
137	19614	94092
138	19756	93951
139	19890	93768
140	20032	93626
141	20168	93457
142	20313	93327
143	20452	93171
144	20584	92987
145	20732	92869
146	20880	92755
147	21022	92610
148	21159	92446
149	21307	92332
150	21445	92173
151	21590	92044
152	21734	91910
153	21877	91772
154	22013	91604
155	22160	91481
156	22291	91296
157	22434	91158
158	22573	91005
159	22718	90873
160	22860	90731
161	23001	90584
162	23142	90440
163	23286	90304
164	23438	90201
165	23597	90126
166	23737	89976
167	23875	89816
168	24019	89681
169	24159	89531
170	24301	89389
171	24442	89244
172	24583	89096
173	24722	88942
174	24875	88840
175	25010	88671
176	25145	88505
177	25285	88358
178	25438	88252
179	25576	88097
180	25718	87955
181	25865	87827
182	26007	87684
